year,state,establishments,workers,totalwages
2000,Alabama -- Statewide,423,6053,125427092
2001,Alabama -- Statewide,426,5995,129261226
2002,Alabama -- Statewide,423,5686,127754205
2003,Alabama -- Statewide,425,5512,129822702
2004,Alabama -- Statewide,442,5821,142718119
2005,Alabama -- Statewide,444,5867,152108125
2006,Alabama -- Statewide,443,5883,158953597
2007,Alabama -- Statewide,437,5728,164422193
2008,Alabama -- Statewide,451,5402,161016803
2009,Alabama -- Statewide,446,5124,156166141
2010,Alabama -- Statewide,451,5014,157304197
2011,Alabama -- Statewide,444,4892,162963103
2012,Alabama -- Statewide,449,5022,162480896
2013,Alabama -- Statewide,466,4878,163984955
2014,Alabama -- Statewide,488,4901,170288327
2015,Alabama -- Statewide,498,5011,185570716
2016,Alabama -- Statewide,501,5159,194171355
2017,Alabama -- Statewide,507,5232,201041556
2018,Alabama -- Statewide,523,5263,208246836
2000,Alaska -- Statewide,39,377,10529506
2001,Alaska -- Statewide,28,246,7688614
2002,Alaska -- Statewide,0,0,0
2003,Alaska -- Statewide,40,444,12128581
2004,Alaska -- Statewide,41,167,3511129
2005,Alaska -- Statewide,41,422,12018900
2006,Alaska -- Statewide,39,427,11848095
2007,Alaska -- Statewide,41,263,8858737
2008,Alaska -- Statewide,43,262,9063245
2009,Alaska -- Statewide,56,0,0
2010,Alaska -- Statewide,57,271,9806214
2011,Alaska -- Statewide,60,290,10458854
2012,Alaska -- Statewide,65,519,15668907
2013,Alaska -- Statewide,65,511,16032610
2014,Alaska -- Statewide,69,519,16659092
2015,Alaska -- Statewide,77,540,17794487
2016,Alaska -- Statewide,76,557,18140470
2017,Alaska -- Statewide,97,328,13664636
2018,Alaska -- Statewide,119,927,29179362
2000,Arizona -- Statewide,789,14930,279115090
2001,Arizona -- Statewide,758,14153,282604092
2002,Arizona -- Statewide,766,14316,293731631
2003,Arizona -- Statewide,529,10683,212664564
2004,Arizona -- Statewide,751,14532,326535918
2005,Arizona -- Statewide,733,14991,368501216
2006,Arizona -- Statewide,718,14067,344220023
2007,Arizona -- Statewide,717,14014,368611994
2008,Arizona -- Statewide,714,13171,377005292
2009,Arizona -- Statewide,699,12340,350780687
2010,Arizona -- Statewide,686,12048,348635370
2011,Arizona -- Statewide,685,12170,358134974
2012,Arizona -- Statewide,682,12582,377043170
2013,Arizona -- Statewide,684,12801,386560944
2014,Arizona -- Statewide,685,12853,405984020
2015,Arizona -- Statewide,687,13051,430074545
2016,Arizona -- Statewide,670,12911,441045405
2017,Arizona -- Statewide,664,13971,497591752
2018,Arizona -- Statewide,688,13963,515892297
2000,Arkansas -- Statewide,916,7800,167820486
2001,Arkansas -- Statewide,954,7873,177793785
2002,Arkansas -- Statewide,993,7829,181107662
2003,Arkansas -- Statewide,994,7834,188501649
2004,Arkansas -- Statewide,980,7767,195350726
2005,Arkansas -- Statewide,978,7596,193308869
2006,Arkansas -- Statewide,976,7377,195300067
2007,Arkansas -- Statewide,973,7264,196342719
2008,Arkansas -- Statewide,991,7277,203226646
2009,Arkansas -- Statewide,1024,7285,203439982
2010,Arkansas -- Statewide,1074,7262,216183999
2011,Arkansas -- Statewide,1105,6848,208262234
2012,Arkansas -- Statewide,1124,7232,228900664
2013,Arkansas -- Statewide,1159,7257,238978658
2014,Arkansas -- Statewide,1218,7562,262669292
2015,Arkansas -- Statewide,1256,7558,273816341
2016,Arkansas -- Statewide,1272,7457,278416310
2017,Arkansas -- Statewide,1274,7340,290842183
2018,Arkansas -- Statewide,1275,7254,293489924
2000,California -- Statewide,18715,226510,4436125298
2001,California -- Statewide,17828,218045,4475475834
2002,California -- Statewide,17261,216055,4629435961
2003,California -- Statewide,16499,213291,4607446240
2004,California -- Statewide,15683,208186,4687683127
2005,California -- Statewide,14808,206261,4849954643
2006,California -- Statewide,14469,201466,4970668289
2007,California -- Statewide,13846,202177,5264504859
2008,California -- Statewide,13472,204980,5466897766
2009,California -- Statewide,13161,199198,5329719952
2010,California -- Statewide,12895,198367,5387277048
2011,California -- Statewide,12578,199473,5573510846
2012,California -- Statewide,12329,200488,5844948468
2013,California -- Statewide,12254,203042,6188113986
2014,California -- Statewide,12275,203267,6434091843
2015,California -- Statewide,12102,205033,6756461922
2016,California -- Statewide,11747,201323,7012087560
2017,California -- Statewide,11641,197848,7139402568
2018,California -- Statewide,11873,193870,7285328359
