year,statefip,foreignborn,hispanic,fhispanic,fiveorlessinUS,greaterthan15inUS,hispanlimenglish,fhispanlimenglish,hispanlessthanhs,fhispanlessthanhs,propforeignborn,prophispanic,propfhispanic,propfiveorlessinUS,propgreaterthan15inUS,totprophispanlimenglish,totpropfhispanlimenglish,totprophispanlessthanhs,totpropfhispanlessthanhs,prophispanlimenglish,propfhispanlimenglish,prophispanlessthanhs,propfhispanlessthanhs,yrsusa1
2000,Alabama,162,77,42,42,73,21,20,46,26,.030508475,.014500942,.0079096043,.25925925,.45061728,.0042304592,.004029009,.0086629,.0048964219,.27272728,.47619048,.59740257,.61904764,17.771605
2001,Alabama,406,245,96,154,187,64,57,137,54,.025200173,.015207001,.0059586619,.37931034,.46059114,.0042280504,.0037656075,.0085035069,.0033517473,.26122448,.59375,.55918366,.5625,17.258621
2002,Alabama,437,262,133,121,185,70,68,150,71,.029525032,.017701507,.0089858789,.27688786,.42334095,.0050337985,.0048899758,.01013445,.004796973,.26717559,.51127821,.57251906,.53383458,17.796339
2003,Alabama,489,261,132,146,216,68,65,132,60,.030530062,.016295187,.0082412437,.29856852,.4417178,.0044905236,.0042924122,.0082412437,.0037460199,.2605364,.49242425,.50574714,.45454547,18.247444
2004,Alabama,438,286,155,154,196,75,75,161,76,.027974708,.01826659,.0098997252,.35159817,.44748858,.0050830226,.0050830226,.01028294,.0048540588,.26223776,.48387095,.56293708,.49032259,18.609589
2005,Alabama,1423,974,471,439,600,250,233,582,278,.031251371,.021390609,.010343919,.30850315,.42164442,.0058272341,.0054309824,.012781657,.006105328,.25667351,.49469215,.59753591,.59023356,17.606464
2006,Alabama,1465,1032,499,409,675,298,277,604,265,.03115828,.021949042,.010612957,.27918088,.46075085,.0067031062,.0062307399,.012846144,.0056361393,.28875968,.55511022,.5852713,.53106213,18.233448
2007,Alabama,1503,1098,543,355,666,295,266,628,286,.031756427,.023199307,.011472882,.23619428,.44311377,.0066028023,.0059537133,.01326882,.0060428069,.26867032,.48987108,.57194901,.52670348,18.881571
2008,Alabama,1550,1159,554,373,723,302,279,652,280,.032873109,.024580603,.011749486,.24064516,.46645162,.0067750979,.006259114,.013827914,.0059383684,.26056945,.50361013,.56255394,.50541514,19.393549
2009,Alabama,1689,1314,621,411,730,342,319,784,326,.034955192,.027194271,.012852088,.24333926,.43220842,.0075080679,.0070031392,.016225502,.0067468286,.26027396,.51368761,.59665143,.52495974,18.359976
2010,Alabama,1593,1312,614,411,696,349,309,797,354,.033528373,.027614076,.012923051,.25800377,.43691149,.0077957469,.0069022514,.01677471,.0074507492,.26600611,.50325733,.6074695,.57654721,18.782171
2011,Alabama,1487,1221,512,266,795,233,211,683,248,.030609934,.025134318,.010539534,.17888366,.53463352,.0050651073,.0045868568,.014059573,.0051050866,.19082719,.41210938,.55937755,.484375,21.561533
2012,Alabama,1505,1261,498,251,786,221,195,729,255,.031472847,.026370272,.010414271,.1667774,.52225912,.0048706308,.0042976155,.015244986,.0053326082,.17525773,.39156628,.5781126,.51204818,21.716944
2013,Alabama,1513,1223,437,238,824,174,159,685,186,.031628899,.025566518,.0091353795,.15730338,.54461336,.0038333591,.003502897,.014319759,.003888285,.1422731,.36384439,.56009811,.42562929,22.85988
2014,Alabama,1504,1373,519,204,819,218,184,774,247,.031469043,.028728057,.010859331,.1356383,.54454786,.004789209,.0040422683,.016194841,.0051681208,.1587764,.35452795,.56372905,.47591522,22.969416
2015,Alabama,1525,1245,506,232,893,203,177,710,251,.032121494,.026223777,.010658016,.15213114,.58557379,.0044886679,.0039137644,.014954925,.0052868817,.16305222,.34980237,.57028115,.49604744,23.542952
2016,Alabama,1651,1407,537,283,919,197,166,804,248,.034641936,.029522231,.011267547,.17141126,.55663234,.004347634,.0036634887,.016869847,.005203634,.14001422,.30912477,.5714286,.46182495,22.509995
2017,Alabama,1732,1520,545,289,983,204,180,864,260,.036352187,.031902611,.011438766,.16685912,.56755197,.0044968589,.0039678165,.018134117,.005457026,.13421053,.33027524,.56842107,.47706422,22.513857
2018,Alabama,1686,1551,512,329,986,229,194,816,231,.035288945,.03246332,.010716453,.19513641,.58481616,.0050357338,.0042660804,.017079348,.0048349625,.14764668,.37890625,.5261122,.45117188,23.575327
2000,Alaska,176,70,22,36,95,9,9,36,12,.077498898,.030823426,.0096873622,.20454545,.53977275,.0042472864,.0042472864,.015852047,.005284016,.12857144,.40909091,.51428574,.54545456,20.556818
2001,Alaska,766,418,96,134,386,33,27,218,42,.081420071,.044430271,.010204081,.17493473,.50391644,.003790054,.0031009533,.023171769,.0044642859,.078947365,.28125,.52153111,.4375,19.63316
2002,Alaska,621,340,68,107,296,13,9,174,21,.073937371,.040481009,.0080962023,.17230274,.47665057,.0016752577,.0011597938,.020716753,.0025002977,.038235296,.13235295,.51176471,.30882353,19.529791
